timestamp,date_key,stock_key,session_key,matched_price,matched_volume,cumulative_volume
2026-06-19 09:00:01,20260619,2,1,28.54,320,320
2026-06-19 09:00:01,20260619,2,1,28.58,4070,4390
2026-06-19 09:00:01,20260619,2,1,28.53,2700,7090
2026-06-19 09:00:04,20260619,2,1,28.55,2030,9120
2026-06-19 09:00:08,20260619,2,1,28.58,3750,12870
2026-06-19 09:00:13,20260619,2,1,28.62,1610,14480
2026-06-19 09:00:14,20260619,2,1,28.62,270,14750
2026-06-19 09:00:14,20260619,2,1,28.58,360,15110
2026-06-19 09:00:16,20260619,2,1,28.55,330,15440
2026-06-19 09:00:17,20260619,2,1,28.5,380,15820
2026-06-19 09:00:19,20260619,2,1,28.5,1480,17300
2026-06-19 09:00:20,20260619,2,1,28.48,1550,18850
2026-06-19 09:00:20,20260619,2,1,28.59,1320,20170
2026-06-19 09:00:21,20260619,2,1,28.64,1370,21540
2026-06-19 09:00:21,20260619,2,1,28.69,3770,25310
2026-06-19 09:00:26,20260619,2,1,28.71,1260,26570
2026-06-19 09:00:27,20260619,2,1,28.69,1410,27980
2026-06-19 09:00:27,20260619,2,1,28.68,2980,30960
2026-06-19 09:00:32,20260619,2,1,28.68,2450,35560
2026-06-19 09:00:32,20260619,2,1,28.67,2150,33110
2026-06-19 09:00:34,20260619,2,1,28.7,510,36070
2026-06-19 09:00:35,20260619,2,1,28.7,1690,37760
2026-06-19 09:00:35,20260619,2,1,28.68,2610,40370
2026-06-19 09:00:36,20260619,2,1,28.65,1880,42250
2026-06-19 09:00:36,20260619,2,1,28.58,1340,43590
2026-06-19 09:00:37,20260619,2,1,28.65,2690,46280
2026-06-19 09:00:38,20260619,2,1,28.76,2850,49130
2026-06-19 09:00:40,20260619,2,1,28.75,4600,55950
2026-06-19 09:00:40,20260619,2,1,28.82,2220,51350
2026-06-19 09:00:45,20260619,2,1,28.79,4820,60770
2026-06-19 09:00:47,20260619,2,1,28.84,3330,64100
2026-06-19 09:00:48,20260619,2,1,28.82,1990,66090
2026-06-19 09:00:52,20260619,2,1,28.85,670,66760
2026-06-19 09:00:52,20260619,2,1,28.83,4400,71160
2026-06-19 09:00:53,20260619,2,1,28.9,2120,73280
2026-06-19 09:00:58,20260619,2,1,28.92,890,74170
2026-06-19 09:01:02,20260619,2,1,28.87,4520,78690
2026-06-19 09:01:04,20260619,2,1,28.91,2370,81060
2026-06-19 09:01:11,20260619,2,1,28.96,3990,85050
2026-06-19 09:01:20,20260619,2,1,28.97,1040,86090
2026-06-19 09:01:20,20260619,2,1,29.0,4330,90420
2026-06-19 09:01:25,20260619,2,1,28.99,4700,95120
2026-06-19 09:01:27,20260619,2,1,28.93,4160,99280
2026-06-19 09:01:31,20260619,2,1,28.93,4450,103730
2026-06-19 09:01:31,20260619,2,1,28.95,130,103860
2026-06-19 09:01:35,20260619,2,1,28.95,1740,105600
2026-06-19 09:01:38,20260619,2,1,29.0,3900,126780
2026-06-19 09:01:38,20260619,2,1,28.99,4900,122880
2026-06-19 09:01:38,20260619,2,1,28.97,4940,114890
