date_key,bank_key,total_assets,total_deposits,total_loans,total_equity,num_employees,num_branches,npl_amount,loan_loss_provision,interest_income,interest_expense,net_interest_income,non_interest_expense,personnel_expense,other_expense,profit_before_tax,profit_after_tax,off_balance_sheet,npl_ratio,llp_ratio,roa,roe,nim,cir,eta,etd,lta,ltd,gta,is_imputed
20051231,1,679708.0,209317.0,406400.0,188076,94.0,,17635.0,960.0,35053.0,16420.0,18633.0,8931.0,3710.0,4180.0,11431.0,8230.0,9445.0,0.043393208661417326,0.002362204724409449,0.012108140554473392,0.043758905974180654,0.06863489023132459,0.6892229895057365,0.2767011716796036,0.8985223369339327,0.5979038057518817,1.9415527644672912,0.5979038057518817,False
20061231,1,3113898.0,1551159.0,1130930.0,1190274,309.0,14.0,30567.0,14430.0,139756.0,73096.0,66660.0,38630.0,10114.0,27702.0,35287.0,12674.0,508996.0,0.027028198031708417,0.012759410396753115,0.004070139741250356,0.010647968450961711,0.03372962864012824,0.7599736077761832,0.38224566122589754,0.767344933691517,0.3631878757749933,0.729087089073396,0.3631878757749933,False
20071231,1,17174117.0,6776279.0,6858134.0,2479200,1123.0,54.0,103304.0,57849.0,1102140.0,777777.0,324363.0,155956.0,49909.0,88693.0,230793.0,161776.0,526026.0,0.01506298943706845,0.008435093277559173,0.009419756485879303,0.06525330751855436,0.03168811198785476,0.8018137851795494,0.14435676663900682,0.3658645105964498,0.39932964239151275,1.0120796383974155,0.39932964239151275,False
20081231,1,13494125.0,6673746.0,6538980.0,3955514,1345.0,70.0,81229.0,81229.0,1494819.0,1223980.0,270839.0,271175.0,92362.0,126363.0,65414.0,49696.0,3236046.0,0.012422273810288455,0.012422273810288455,0.0036827878799107015,0.012563727495339416,0.04183086546687443,0.9580832375883412,0.29312860226209553,0.5926977142971878,0.48457977082619286,0.9798065434315301,0.48457977082619286,False
20091231,1,26518084.0,15001842.0,12882962.0,4489436,1717.0,86.0,142460.0,142460.0,1646999.0,957497.0,689502.0,377539.0,143060.0,170402.0,412615.0,311647.0,2047227.0,0.011058016005946459,0.011058016005946459,0.011752244242080235,0.06941785115101318,0.05252148880583315,0.7639030904911793,0.16929714831584364,0.2992589843300576,0.48581797991136916,0.8587586777677034,0.48581797991136916,False
20101231,1,38015689.0,23457313.0,19876899.0,4652209,,115.0,211373.0,211373.0,3300305.0,2091747.0,1208558.0,695171.0,250947.0,287854.0,661413.0,496149.0,3472602.0,0.01063410343836833,0.01063410343836833,0.013051164218015356,0.1066480461217456,0.06901580588832756,0.8081932969891811,0.12237602743435744,0.1983265943546049,0.5228604169189199,0.847364700296236,0.5228604169189199,False
20111231,1,41541959.0,20249558.0,19915501.0,4723090,2683.0,133.0,317855.0,317855.0,5090760.0,3218684.0,1872076.0,1045585.0,366291.0,433870.0,401634.0,307046.0,2783090.0,0.01596018096657473,0.01596018096657473,0.007391225820621508,0.06500955941978663,0.08953051948548822,0.9139214852944865,0.11369444565673949,0.2332441034021582,0.4794068811246961,0.9835029979419798,0.4794068811246961,False
20121231,1,46013686.0,28734042.0,18755777.0,4900245,2766.0,140.0,531735.0,413608.0,4711628.0,2994302.0,1717326.0,1169838.0,437816.0,612372.0,528262.0,399290.0,4459385.0,0.028350465032720318,0.022052298873035222,0.008677635606067291,0.08148368091799492,0.06492585736617935,0.8874218364070257,0.10649538052656768,0.17053796329802817,0.40761300887740226,0.6527371610301119,0.40761300887740226,False
20131231,1,57627710.0,37161637.0,23646752.0,5744476,2577.0,145.0,1594373.0,653471.0,4031822.0,2773923.0,1257899.0,1153285.0,405055.0,603266.0,185111.0,140562.0,2722431.0,0.06742460867352945,0.027634704334870176,0.002439139087775655,0.02446907254900186,0.03798535127388426,0.9549862255335736,0.0996825311989666,0.15458081138890625,0.4103364856941218,0.6363215915380692,0.4103364856941218,False
20141231,1,67464850.0,45102698.0,25969150.0,5715376,2708.0,146.0,1030675.0,473660.0,4119645.0,2633172.0,1486473.0,1235130.0,452422.0,581390.0,151107.0,116973.0,4785899.0,0.03968843801202581,0.018239333978971203,0.001733836212486947,0.020466370016600833,0.03672460208609411,0.9624056671018053,0.084716352293083,0.12671915990480215,0.38492859615043984,0.5757781940228941,0.38492859615043984,False
