date_key,bank_key,total_assets,total_deposits,total_loans,total_equity,num_employees,num_branches,npl_amount,loan_loss_provision,interest_income,interest_expense,net_interest_income,non_interest_expense,personnel_expense,other_expense,profit_before_tax,profit_after_tax,off_balance_sheet,npl_ratio,llp_ratio,roa,roe,nim,cir,eta,etd,lta,ltd,gta,is_imputed,bank_name,bank_code,bank_type,charter_capital,year
20051231,1,679708.0,209317.0,406400.0,188076,94.0,,17635.0,960.0,35053.0,16420.0,18633.0,8931.0,3710.0,4180.0,11431.0,8230.0,9445.0,0.0433932086614173,0.0023622047244094,0.0121081405544733,0.0437589059741806,0.0686348902313245,0.6892229895057365,0.2767011716796036,0.8985223369339327,0.5979038057518817,1.9415527644672912,0.5979038057518817,False,An Binh Commercial Joint Stock Bank,ABB,JSCB,,2005
20061231,1,3113898.0,1551159.0,1130930.0,1190274,309.0,14.0,30567.0,14430.0,139756.0,73096.0,66660.0,38630.0,10114.0,27702.0,35287.0,12674.0,508996.0,0.0270281980317084,0.0127594103967531,0.0040701397412503,0.0106479684509617,0.0337296286401282,0.7599736077761832,0.3822456612258975,0.767344933691517,0.3631878757749933,0.729087089073396,0.3631878757749933,False,An Binh Commercial Joint Stock Bank,ABB,JSCB,,2006
20071231,1,17174117.0,6776279.0,6858134.0,2479200,1123.0,54.0,103304.0,57849.0,1102140.0,777777.0,324363.0,155956.0,49909.0,88693.0,230793.0,161776.0,526026.0,0.0150629894370684,0.0084350932775591,0.0094197564858793,0.0652533075185543,0.0316881119878547,0.8018137851795494,0.1443567666390068,0.3658645105964498,0.3993296423915127,1.0120796383974155,0.3993296423915127,False,An Binh Commercial Joint Stock Bank,ABB,JSCB,,2007
20081231,1,13494125.0,6673746.0,6538980.0,3955514,1345.0,70.0,81229.0,81229.0,1494819.0,1223980.0,270839.0,271175.0,92362.0,126363.0,65414.0,49696.0,3236046.0,0.0124222738102884,0.0124222738102884,0.0036827878799107,0.0125637274953394,0.0418308654668744,0.9580832375883412,0.2931286022620955,0.5926977142971878,0.4845797708261928,0.97980654343153,0.4845797708261928,False,An Binh Commercial Joint Stock Bank,ABB,JSCB,,2008
20091231,1,26518084.0,15001842.0,12882962.0,4489436,1717.0,86.0,142460.0,142460.0,1646999.0,957497.0,689502.0,377539.0,143060.0,170402.0,412615.0,311647.0,2047227.0,0.0110580160059464,0.0110580160059464,0.0117522442420802,0.0694178511510131,0.0525214888058331,0.7639030904911793,0.1692971483158436,0.2992589843300576,0.4858179799113691,0.8587586777677034,0.4858179799113691,False,An Binh Commercial Joint Stock Bank,ABB,JSCB,,2009
20101231,1,38015689.0,23457313.0,19876899.0,4652209,,115.0,211373.0,211373.0,3300305.0,2091747.0,1208558.0,695171.0,250947.0,287854.0,661413.0,496149.0,3472602.0,0.0106341034383683,0.0106341034383683,0.0130511642180153,0.1066480461217456,0.0690158058883275,0.8081932969891811,0.1223760274343574,0.1983265943546049,0.5228604169189199,0.847364700296236,0.5228604169189199,False,An Binh Commercial Joint Stock Bank,ABB,JSCB,,2010
20111231,1,41541959.0,20249558.0,19915501.0,4723090,2683.0,133.0,317855.0,317855.0,5090760.0,3218684.0,1872076.0,1045585.0,366291.0,433870.0,401634.0,307046.0,2783090.0,0.0159601809665747,0.0159601809665747,0.0073912258206215,0.0650095594197866,0.0895305194854882,0.9139214852944864,0.1136944456567394,0.2332441034021582,0.4794068811246961,0.9835029979419798,0.4794068811246961,False,An Binh Commercial Joint Stock Bank,ABB,JSCB,,2011
20121231,1,46013686.0,28734042.0,18755777.0,4900245,2766.0,140.0,531735.0,413608.0,4711628.0,2994302.0,1717326.0,1169838.0,437816.0,612372.0,528262.0,399290.0,4459385.0,0.0283504650327203,0.0220522988730352,0.0086776356060672,0.0814836809179949,0.0649258573661793,0.8874218364070257,0.1064953805265676,0.1705379632980281,0.4076130088774022,0.6527371610301119,0.4076130088774022,False,An Binh Commercial Joint Stock Bank,ABB,JSCB,,2012
20131231,1,57627710.0,37161637.0,23646752.0,5744476,2577.0,145.0,1594373.0,653471.0,4031822.0,2773923.0,1257899.0,1153285.0,405055.0,603266.0,185111.0,140562.0,2722431.0,0.0674246086735294,0.0276347043348701,0.0024391390877756,0.0244690725490018,0.0379853512738842,0.9549862255335736,0.0996825311989666,0.1545808113889062,0.4103364856941218,0.6363215915380692,0.4103364856941218,False,An Binh Commercial Joint Stock Bank,ABB,JSCB,,2013
20141231,1,67464850.0,45102698.0,25969150.0,5715376,2708.0,146.0,1030675.0,473660.0,4119645.0,2633172.0,1486473.0,1235130.0,452422.0,581390.0,151107.0,116973.0,4785899.0,0.0396884380120258,0.0182393339789712,0.0017338362124869,0.0204663700166008,0.0367246020860941,0.9624056671018052,0.084716352293083,0.1267191599048021,0.3849285961504398,0.5757781940228941,0.3849285961504398,False,An Binh Commercial Joint Stock Bank,ABB,JSCB,,2014
